trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",20,0,-139.66258776351452,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-47.03486780855073,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-56.66867672907232,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-172.0102742604111,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-70.40217502052198,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-22.517606170211497,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-82.75614742757672,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,7,-178.09043064903145,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 4}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,13,-12.123287797182796,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,19,-0.19010143368584953,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,0,-28.156342664210605,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-112.65568986246133,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-161.44911892813977,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
